vmaf,rebuffering_duration,switch,score
1154.8721645390112,-13,-175.3827272300052,50.56755318774092
966.2318440145835,-129,-138.29328615554766,35.463199333347426
1101.6485927648744,0,-203.76005885919258,69.79129229121301
1240.307656242465,0,-179.38643835933357,83.52252506994215
1039.8767824081242,-167,-226.37020523770514,45.075068885083475
1273.9374937489872,-175,-172.0885492162223,32.7169571820187
1109.2434709259562,-136,-112.76198354948794,38.20944148467615
1142.134896033868,0,-186.41956980771477,84.8956461456065
1102.7772301705993,0,-155.95597394607947,54.68693843681952
1162.1862924586262,-7,-166.59774363643464,40.95568363600488
994.7955061404742,-91,-169.37173551929084,31.34383610635434
914.5372661241656,0,-238.9170325515577,56.06005951248388
819.9331681222332,0,-179.13217713395628,43.70194780941911
937.3559201767126,-6,-188.90724631762498,65.67190704213442
689.6915075384061,-120,-239.94174648408205,27.224450857275745
860.8801402063626,0,-131.96394050026134,54.68693843681952
702.4452925811232,-9,-170.6802646613497,23.105087630282657
905.1297209285154,-136,-217.1675719317036,49.19443211207656
604.092634585751,-155,-136.029325104948,25.851329781611383
721.3023782940605,-104,-285.0313385257173,24.478208705947022
670.9518810887438,0,-209.5002697170629,36.83632040901179
694.4813429747563,-10,-162.82197354195253,24.478208705947022
1345.7443819426624,0,-150.4286562611387,49.19443211207656
1411.1160373993698,0,-145.61025871000032,61.55254381514133
1290.648958288446,-154,-180.1982920679522,56.06005951248388
1073.647453695838,0,-170.77569020872372,64.29878596647005
978.8168692442098,0,-135.46228689636308,68.41817121554865
1082.8640405279175,-2,-168.68558248817368,75.28377659387046
898.1465091253527,-142,-132.51349681726055,34.09007825768306
912.0698998469172,0,-149.2074308267628,53.31379533906964
774.0821890616111,-3,-178.56474865276206,38.20944148467615
922.7183272995093,-1,-184.06082204277817,73.9106555182061
670.441195312198,-169,-174.37150666412964,25.851329781611383
487.10698564177096,0,-230.11782552980597,29.970715030689977
646.2426049701116,0,-255.7934393033662,25.851329781611383
880.048472216709,0,-216.87527008315163,65.67190704213442
898.1589125317967,0,-246.51595763874292,76.65689766953483
665.467923154706,-169,-147.55497198654638,3.8813485268105694
1003.4974119217956,0,-222.84860253545645,62.92566489080569
885.3187228185692,-3,-201.38950282171828,21.731966554618296
1109.0140201450254,-41,-243.79434819217894,21.731966554618296
827.2758276748855,-158,-192.98515227689927,5.254491624560437
1185.2121874214802,0,-177.1192917825313,60.17942273947697
1067.3785338186797,0,-187.4895788493984,61.55254381514133
1203.2834318130642,-15,-221.46669059970154,51.940674263405285
897.8957804738902,-64,-185.52542454146743,51.940674263405285
1163.5036110975434,0,-157.7824632558318,71.16441336687737
1054.9905340327582,-14,-147.80043823472764,36.83632040901179
1164.9854180554678,0,-133.54981733695882,69.79129229121301
1253.355564799161,0,-126.81371327344668,79.40316184294906
1286.1536851093356,0,-109.27922148274484,78.03001874519919
1198.4098056943276,0,-233.7581344142797,80.77628291861342
1239.8035298434888,-26,-231.80649886024366,83.52252506994215
1057.4205921827652,-190,-216.06769832107477,20.358845478953935
1337.8398103452553,0,-201.832521841929,100.0
1329.6719034121477,0,-174.33646516456406,68.41817121554865
1265.8024049372561,0,-118.499938034471,56.06005951248388
1275.3329776915075,0,-130.01466246614632,75.28377659387046
1065.690463526025,-161,-130.7403808490411,36.83632040901179
1400.889165922003,0,-126.30679275864965,57.43318058814825
1157.7268122939975,0,-126.14153291836213,58.806301663812604
1072.7780428995095,0,-131.5779488709474,64.29878596647005
1143.879283220465,0,-160.97327426158628,67.04505013988428
967.2759301278404,-113,-202.77563665384042,42.32882673375475
1232.8645858146663,0,-123.77433995749126,57.43318058814825
1236.7691063813966,0,-117.46792194388712,78.03001874519919
924.7497830979389,0,-176.27375823823405,29.970715030689977
827.9202543613023,-10,-166.1141294186698,35.463199333347426
971.2137394697988,-21,-222.35927514534137,64.29878596647005
1147.6358678799293,0,-208.9977893367941,84.8956461456065
1150.0765518133499,0,-164.98161722669437,79.40316184294906
853.9470923581017,0,-185.25536085780263,56.06005951248388
658.4406877718634,-9,-140.2056975460536,36.83632040901179
866.3733382437973,-35,-219.32173074463708,43.70194780941911
537.678337269362,-155,-116.06116901083112,16.239460229875334
1122.8757402694714,0,-154.06544624595347,76.65689766953483
987.549538517185,0,-252.41379226180337,60.17942273947697
1044.747618019545,-18,-246.2767893294954,50.56755318774092
689.7195039095773,-120,-201.92444124665462,35.463199333347426
1243.74885788485,0,-182.66536686488325,73.9106555182061
684.1938766018836,0,-135.4134861700485,21.731966554618296
529.1637707216213,0,-118.8971254262755,21.731966554618296
396.40808940810257,-112,-143.5217483855664,5.254491624560437
881.1645732628964,0,-141.0957344164338,40.95568363600488
897.311723177817,0,-135.2052392270087,45.075068885083475
